scalable,model,title,url,cite_name,year,journal,generative modeling,Graph type,Attribute,Application,,Graph type,Attribute,Applications
✅,Erdös-Rényi,On the evolution of random graphs,https://pages.cs.wisc.edu/~cs809-1/ErdosRenyi.pdf,ER,1960,Publicationes Mathematicae,statistical-based simulation,Scale-free,non-attribute,Social Network Analysis,,Scale-free,non-attribute,Transportation Network Modeling
✅,Barabási-Albert,Emergence of scaling in random networks,https://www.science.org/doi/abs/10.1126/science.286.5439.509,BA,1999,science,statistical-based simulation,Geometric,attributed,Social Network Analysis,,Geometric,attributed,Human Motion Prediction
,ERGM,An introduction to exponential random graph (p*) models for social networks,https://www.sciencedirect.com/science/article/pii/S0378873306000372,ERGM,2007,Social networks,statistical-based simulation,General,Text-attributed,Social Network Analysis,,General,Text-attributed,Dynamic Graph Modeling
,Affiliation Network,Affiliation networks,https://doi.org/10.1145/1536414.1536474,stoc_affiliation,2009,Stoc,statistical-based simulation,,,Social Network Analysis,,,,General Graph Modeling
✅,FastKronecker,Kronecker Graphs: An Approach to Modeling Networks,https://dl.acm.org/doi/10.5555/1756006.1756039,FastKronecker,2010,JMLR,statistical-based simulation,,,Social Network Analysis,,,,Social Network Analysis
✅,AND,Activity driven modeling of time varying networks,https://www.nature.com/articles/srep00469,AND,2012,Scientific reports,statistical-based simulation,,,Social Network Analysis,,,,Recommender Systems
✅,ROLL-Tree,ROLL:Fast In-Memory Generation of Gigantic Scale-free Networks,https://doi.org/10.1145/2882903.2882964,ROLL-Tree,2016,SIGMOD,statistical-based simulation,,,Social Network Analysis,,,,
,motion-framework,A deep learning framework for character motion synthesis and editing,https://doi.org/10.1145/2897824.2925975,motion-framework,2016,TOG,VAE,,,Human Motion Prediction,,,,
✅,VGAE,Variational Graph Auto-Encoders,http://arxiv.org/abs/1611.07308,VGAE,2016,NIPS,VAE,,,Dynamic Graph Modeling,,,,
,ORGAN,Objective-Reinforced Generative Adversarial Networks (ORGAN),http://arxiv.org/abs/1705.10843,ORGAN,2017,arXiv,GAN,,,Molecule Generation,,,,
✅,TrillionG,TrillionG: A Trillion-scale Synthetic Graph Generator using a Recursive Vector Model,https://doi.org/10.1145/3035918.3064014,TrillionG,2017,SIGMOD,statistical-based simulation,,,Social Network Analysis,,,,
✅,GraphRNN,GraphRNN: Generating Realistic Graphs with Deep Auto-regressive Models,http://proceedings.mlr.press/v80/you18a.html,GraphRNN,2018,ICML,AR,,,General Graph Modeling,,,,
ç,MolGAN,MolGAN: An implicit generative model for small molecular graphs,http://arxiv.org/abs/1805.11973,MolGAN,2018,ICML,GAN,,,Molecule Generation,,,,
,GCPN,Graph Convolutional Policy Network for Goal-Directed Molecular Graph Generation,https://proceedings.neurips.cc/paper/2018/hash/d60678e8f2ba9c540798ebbde31177e8-Abstract.html,GCPN,2018,NIPS,GAN,,,Molecule Generation,,,,
